# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/GRP776+1.p","Unknown","","Theorem",1.643087,"equality-heavy","false","20","14","0.325581","3.627907","0.150000","0.558140"
result,"FEQ/HAL001+1.p","Unknown","","Timeout",2.907990,"equality-heavy","false","47","27","0.180000","5.000000","0.382979","0.593333"
result,"FEQ/HAL006+1.p","Unknown","","Timeout",3.045894,"equality-heavy","false","59","34","0.194286","4.971429","0.305085","0.582857"
result,"FEQ/HWV090+1.p","Unknown","","Timeout",3.030240,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/HWV107+1.p","Unknown","","Timeout",3.031487,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/HWV128+1.p","Theorem","0.97 v7.1.0","Timeout",3.018334,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ITP002+5.p","Unknown","","Timeout",2.943964,"equality-light","false","2496","746","0.041704","5.874217","0.031651","0.715619"
result,"FEQ/ITP003+1.p","Unknown","","Theorem",0.023411,"equality-heavy","false","155","79","0.233038","9.879056","0.232258","0.430678"
result,"FEQ/ITP003+2.p","Unknown","","Theorem",0.295707,"equality-light","false","137","29","0.048658","4.260067","0.197080","0.711409"
result,"FEQ/ITP004+2.p","Unknown","","Timeout",2.958726,"equality-light","false","44","12","0.080537","4.476510","0.181818","0.664430"
result,"FEQ/ITP004+4.p","Unknown","","Timeout",3.008017,"equality-heavy","false","5639","4616","0.357248","21.828341","0.332506","0.436886"
result,"FEQ/ITP004+5.p","Unknown","","Timeout",3.006548,"equality-light","false","6048","3270","0.084750","6.211772","0.037533","0.730821"
result,"FEQ/ITP005+5.p","Unknown","","Timeout",3.006369,"equality-light","false","7899","4122","0.081992","6.379965","0.032916","0.729159"
result,"FEQ/ITP006+1.p","Unknown","","Theorem",0.016935,"equality-heavy","false","112","64","0.237918","9.375465","0.151786","0.464684"
result,"FEQ/ITP009+1.p","Unknown","","Theorem",0.014550,"equality-heavy","false","80","42","0.269231","17.666667","0.287500","0.423077"
result,"FEQ/ITP012+4.p","Unknown","","Timeout",3.012789,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ITP013+1.p","Unknown","","Theorem",0.013801,"equality-heavy","false","89","65","0.357143","11.351648","0.314607","0.439560"
result,"FEQ/ITP015+4.p","Unknown","","Timeout",3.012396,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ITP015+5.p","Unknown","","Timeout",3.017788,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ITP019+5.p","Unknown","","Timeout",3.024152,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ITP021+1.p","Unknown","","Theorem",0.015049,"equality-heavy","false","96","52","0.234234","8.103604","0.156250","0.441441"
result,"FEQ/ITP023+4.p","Unknown","","Timeout",3.015871,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/KLE011+1.p","Unknown","","Timeout",2.906966,"equality-heavy","false","25","23","0.575000","5.075000","0.560000","0.375000"
result,"FEQ/KLE071+1.p","Unknown","","GaveUp",1.024620,"equality-heavy","false","19","19","0.904762","7.714286","0.894737","0.142857"
result,"FEQ/KLE113+1.p","Unknown","","GaveUp",1.028415,"equality-heavy","false","28","28","0.933333","7.766667","0.928571","0.100000"
result,"FEQ/KLE132+1.p","Unknown","","GaveUp",1.035530,"equality-heavy","false","32","33","0.942857","9.000000","0.906250","0.114286"
result,"FEQ/KLE170+1.002.p","Unknown","","GaveUp",1.019674,"equality-heavy","false","18","13","0.590909","6.863636","0.777778","0.227273"
result,"FEQ/KRS133+1.p","Unknown","","Timeout",3.032946,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/LAT350+1.p","Unknown","","Theorem",1.109263,"equality-light","false","380","42","0.027326","2.767729","0.392105","0.701366"
result,"FEQ/LAT374+3.p","Unknown","","Timeout",3.020232,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/LAT378+3.p","Unknown","","Timeout",3.017209,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/LCL448+1.p","Unknown","","Timeout",3.466286,"equality-light","false","70","7","0.052632","4.240602","0.142857","0.458647"
